Dziennik,Data,Wpis,Liczba
2TMR,2020-09-01,obecność,168
2TMR,2020-09-02,obecność,126
2TMR,2020-09-03,obecność,156
2TMR,2020-09-04,obecność,158
2TMR,2020-09-07,obecność,139
2TMR,2020-09-08,obecność,142
2TMR,2020-09-09,obecność,114
2TMR,2020-09-10,obecność,163
2TMR,2020-09-11,nieob. uspraw.,50
2TMR,2020-09-14,obecność,118
2TMR,2020-09-15,obecność,143
2TMR,2020-09-16,nieob. uspraw.,18
2TMR,2020-09-17,obecność,131
2TMR,2020-09-17,spóźnienie,2
2TMR,2020-09-17,nieobecność,14
2TMR,2020-09-18,obecność,121
2TMR,2020-09-21,obecność,120
2TMR,2020-09-22,obecność,111
2TMR,2020-09-23,obecność,116
2TMR,2020-09-24,obecność,127
2TMR,2020-09-25,obecność,134
2TMR,2020-09-28,obecność,93
2TMR,2020-09-29,obecność,154
2TMR,2020-09-30,obecność,113
2TMR,2020-10-05,obecność,115
2TMR,2020-10-06,obecność,139
2TMR,2020-10-06,nieob. uspr. p.s.,8
2TMR,2020-10-06,spóźnienie,2
2TMR,2020-10-07,obecność,100
2TMR,2020-10-08,obecność,120
2TMR,2020-10-09,nieob. uspraw.,45
2TMR,2020-10-12,obecność,127
2TMR,2020-10-13,obecność,168
2TMR,2020-10-15,obecność,53
2TMR,2020-10-15,nieobecność,106
2TMR,2020-10-16,obecność,152
2TMR,2020-10-19,obecność,132
2TMR,2020-10-20,obecność,149
2TMR,2020-10-20,nieob. uspr. p.s.,6
2TMR,2020-10-21,obecność,116
2TMR,2020-10-22,obecność,129
2TMR,2020-10-23,nieobecność,51
2TMR,2020-10-26,nieobecność,43
2TMR,2020-10-26,nauka zdalna,94
2TMR,2020-10-27,nauka zdalna,128
2TMR,2020-10-28,nauka zdalna,105
2TMR,2020-10-29,nauka zdalna,144
2TMR,2020-10-30,nauka zdalna,144
2TMR,2020-11-02,nauka zdalna,105
2TMR,2020-11-03,nauka zdalna,144
2TMR,2020-11-04,nauka zdalna,113
2TMR,2020-11-05,nauka zdalna,156
2TMR,2020-11-05,nieobecność,16
2TMR,2020-11-06,nauka zdalna,125
2TMR,2020-11-09,nauka zdalna,113
2TMR,2020-11-10,nauka zdalna,141
2TMR,2020-11-12,nieobecność,46
2TMR,2020-11-12,spóźnienie,1
2TMR,2020-11-12,nauka zdalna,126
2TMR,2020-11-13,nauka zdalna,129
2TMR,2020-11-13,nieobecność,35
2TMR,2020-11-16,nauka zdalna,116
2TMR,2020-11-17,nauka zdalna,129
2TMR,2020-11-18,nauka zdalna,113
2TMR,2020-11-19,nauka zdalna,164
2TMR,2020-11-20,nauka zdalna,136
2TMR,2020-11-23,nauka zdalna,111
2TMR,2020-11-24,nauka zdalna,133
2TMR,2020-11-25,nauka zdalna,96
2TMR,2020-11-26,nauka zdalna,168
2TMR,2020-11-27,spóźnienie,13
2TMR,2020-11-27,nauka zdalna,152
2TMR,2020-11-30,nauka zdalna,108
2TMR,2020-12-01,nauka zdalna,132
2TMR,2020-12-02,nauka zdalna,104
2TMR,2020-12-03,nauka zdalna,169
2TMR,2020-12-04,nauka zdalna,128
2TMR,2020-12-07,nauka zdalna,125
2TMR,2020-12-08,nauka zdalna,145
2TMR,2020-12-09,nauka zdalna,124
2TMR,2020-12-10,nauka zdalna,148
2TMR,2020-12-11,nauka zdalna,145
2TMR,2020-12-14,nauka zdalna,111
2TMR,2020-12-15,nauka zdalna,137
2TMR,2020-12-16,nieob. uspraw.,19
2TMR,2020-12-17,nauka zdalna,141
2TMR,2020-12-18,nauka zdalna,167
2TMR,2020-12-21,nauka zdalna,66
2TMR,2020-12-22,nauka zdalna,125
2TMR,2021-01-18,nieob. uspraw.,13
2TMR,2021-01-18,nauka zdalna,89
2TMR,2021-01-19,nauka zdalna,157
2TMR,2021-01-20,nieob. uspraw.,18
2TMR,2021-01-21,nauka zdalna,150
2TMR,2021-01-22,nauka zdalna,129
2TMR,2021-01-25,nauka zdalna,109
2TMR,2021-01-26,nauka zdalna,133
2TMR,2021-01-27,nauka zdalna,72
2TMR,2021-01-28,nauka zdalna,124
2TMR,2021-01-29,nauka zdalna,120
2TMR,2021-02-01,nauka zdalna,119
2TMR,2021-02-02,nauka zdalna,153
2TMR,2021-02-03,nauka zdalna,103
2TMR,2021-02-04,nauka zdalna,74
2TMR,2021-02-05,nauka zdalna,89
2TMR,2021-02-08,nauka zdalna,144
2TMR,2021-02-09,nauka zdalna,164
2TMR,2021-02-10,nauka zdalna,95
2TMR,2021-02-11,nauka zdalna,47
2TMR,2021-02-11,nieobecność,30
2TMR,2021-02-12,nauka zdalna,98
2TMR,2021-02-15,nauka zdalna,114
2TMR,2021-02-15,nieob. uspraw.,15
2TMR,2021-02-16,nauka zdalna,147
2TMR,2021-02-17,nauka zdalna,94
2TMR,2021-02-18,obecność,152
2TMR,2021-02-19,nauka zdalna,140
2TMR,2021-02-22,nauka zdalna,110
2TMR,2021-02-22,spóźnienie,7
2TMR,2021-02-23,nauka zdalna,160
2TMR,2021-02-24,nauka zdalna,102
2TMR,2021-02-25,obecność,120
2TMR,2021-02-26,nauka zdalna,93
2TMR,2021-03-01,nauka zdalna,108
2TMR,2021-03-02,nauka zdalna,139
2TMR,2021-03-03,nauka zdalna,131
2TMR,2021-03-04,obecność,104
2TMR,2021-03-05,nieob. uspraw.,4
2TMR,2021-03-05,nauka zdalna,116
2TMR,2021-03-08,nauka zdalna,114
2TMR,2021-03-08,obecność,41
2TMR,2021-03-09,nauka zdalna,107
2TMR,2021-03-10,nauka zdalna,129
2TMR,2021-03-11,nauka zdalna,80
2TMR,2021-03-12,nauka zdalna,83
2TMR,2021-03-15,nauka zdalna,120
