Dziennik,Data,Wpis,Liczba
2TMR,2021-03-15,spóźnienie,5
2TMR,2021-03-16,nauka zdalna,165
2TMR,2021-03-16,nieob. uspraw.,19
2TMR,2021-03-17,nieob. uspraw.,33
2TMR,2021-03-17,nauka zdalna,74
2TMR,2021-03-18,obecność,8
2TMR,2021-03-19,nauka zdalna,125
2TMR,2021-03-22,nauka zdalna,132
2TMR,2021-03-23,nauka zdalna,148
2TMR,2021-03-24,nauka zdalna,108
2TMR,2021-03-25,nauka zdalna,149
2TMR,2021-03-26,nauka zdalna,115
2TMR,2021-03-29,nauka zdalna,119
2TMR,2021-03-29,spóźnienie,10
2TMR,2021-03-30,nauka zdalna,166
2TMR,2021-03-31,nauka zdalna,86
2TMR,2021-04-07,nauka zdalna,100
2TMR,2021-04-08,nauka zdalna,160
2TMR,2021-04-09,nauka zdalna,121
2TMR,2021-04-12,nauka zdalna,124
2TMR,2021-04-13,nauka zdalna,148
2TMR,2021-04-14,nauka zdalna,121
2TMR,2021-04-15,spóźnienie,2
2TMR,2021-04-15,nauka zdalna,158
2TMR,2021-04-16,nauka zdalna,117
2TMR,2021-04-19,nauka zdalna,109
2TMR,2021-04-19,nieob. uspraw.,26
2TMR,2021-04-20,nauka zdalna,153
2TMR,2021-04-20,nieob. uspraw.,24
2TMR,2021-04-21,nauka zdalna,111
2TMR,2021-04-22,nauka zdalna,100
2TMR,2021-04-22,nieob. uspraw.,36
2TMR,2021-04-23,nauka zdalna,118
2TMR,2021-04-26,nauka zdalna,135
2TMR,2021-04-27,nauka zdalna,143
2TMR,2021-04-28,nauka zdalna,98
2TMR,2021-04-28,nieob. uspraw.,14
2TMR,2021-04-29,obecność,80
2TMR,2021-04-30,nauka zdalna,105
2TMR,2021-05-07,nauka zdalna,83
2TMR,2021-05-07,nieob. uspraw.,26
2TMR,2021-05-10,nauka zdalna,130
2TMR,2021-05-11,nieob. uspraw.,23
2TMR,2021-05-11,nauka zdalna,162
2TMR,2021-05-12,nauka zdalna,89
2TMR,2021-05-13,obecność,125
2TMR,2021-05-13,nieob. uspraw.,29
2TMR,2021-05-14,nauka zdalna,128
2TMR,2021-05-14,nieob. uspraw.,10
2TMR,2021-05-17,nauka zdalna,108
2TMR,2021-05-18,nauka zdalna,139
2TMR,2021-05-19,nauka zdalna,106
2TMR,2021-05-20,nauka zdalna,131
2TMR,2021-05-20,nieob. uspraw.,21
2TMR,2021-05-21,nauka zdalna,137
2TMR,2021-05-24,spóźnienie,6
2TMR,2021-05-24,obecność,127
2TMR,2021-05-25,obecność,141
2TMR,2021-05-25,nauka zdalna,21
2TMR,2021-05-26,nauka zdalna,18
2TMR,2021-05-26,obecność,90
2TMR,2021-05-27,obecność,102
2TMR,2021-05-27,spóźnienie,7
2TMR,2021-05-27,nieob. uspraw.,36
2TMR,2021-05-28,obecność,79
2TMR,2021-05-28,nieob. uspraw.,47
2TMR,2020-09-10,nieobecność,12
2TMR,2020-09-11,obecność,120
2TMR,2020-09-15,spóźnienie,4
2TMR,2020-09-16,obecność,112
2TMR,2020-09-18,nieobecność,4
2TMR,2020-10-01,obecność,123
2TMR,2020-10-01,nieobecność,28
2TMR,2020-10-02,obecność,101
2TMR,2020-10-05,nieobecność,16
2TMR,2020-10-07,nieob. uspr. p.s.,12
2TMR,2020-10-08,nieobecność,34
2TMR,2020-10-09,obecność,112
2TMR,2020-10-09,nieobecność,19
2TMR,2020-10-21,nieob. uspr. p.s.,10
2TMR,2020-10-22,nieobecność,36
2TMR,2020-10-23,obecność,117
2TMR,2020-10-27,nieobecność,42
2TMR,2020-11-04,nieobecność,15
2TMR,2020-11-06,nieobecność,35
2TMR,2020-11-09,nieobecność,26
2TMR,2020-11-10,nieobecność,11
2TMR,2020-11-20,nieobecność,27
2TMR,2020-11-23,nieobecność,26
2TMR,2020-11-30,nieobecność,27
2TMR,2020-12-01,nieobecność,28
2TMR,2020-12-07,nieob. uspraw.,9
2TMR,2020-12-14,spóźnienie,11
2TMR,2020-12-14,nieobecność,13
2TMR,2020-12-16,nauka zdalna,90
2TMR,2020-12-17,nieobecność,27
2TMR,2020-12-21,nieobecność,39
2TMR,2020-12-22,nieobecność,45
2TMR,2021-01-18,obecność,36
2TMR,2021-01-18,nieobecność,16
2TMR,2021-01-20,nauka zdalna,102
2TMR,2021-01-22,nieobecność,33
2TMR,2021-01-26,nieob. uspraw.,22
2TMR,2021-01-26,nieobecność,19
2TMR,2021-02-01,spóźnienie,5
2TMR,2021-02-05,nieobecność,34
2TMR,2021-02-09,nieob. uspraw.,13
2TMR,2021-02-11,obecność,90
2TMR,2021-02-12,nieobecność,20
2TMR,2021-02-15,nieobecność,22
2TMR,2021-02-16,nieob. uspraw.,24
2TMR,2021-02-17,nieob. uspraw.,11
2TMR,2021-02-22,nieob. uspraw.,21
2TMR,2021-02-26,nieob. uspraw.,40
2TMR,2021-03-04,nieob. uspraw.,48
2TMR,2021-03-09,nieob. uspraw.,50
2TMR,2021-03-09,nieobecność,19
2TMR,2021-03-12,nieob. uspraw.,9
2TMR,2021-03-18,nauka zdalna,153
2TMR,2021-03-22,nieobecność,12
2TMR,2021-03-25,nieobecność,25
2TMR,2021-03-25,spóźnienie,1
2TMR,2021-03-29,nieobecność,15
2TMR,2021-03-30,nieobecność,23
2TMR,2021-03-31,nieob. uspraw.,26
2TMR,2021-04-12,nieobecność,13
2TMR,2021-04-13,nieob. uspraw.,33
2TMR,2021-04-16,nieob. uspraw.,12
2TMR,2021-04-19,spóźnienie,5
2TMR,2021-04-28,nieobecność,20
2TMR,2021-04-29,nauka zdalna,56
2TMR,2021-04-30,nieob. uspraw.,30
2TMR,2021-05-07,nieobecność,45
2TMR,2021-05-10,nieobecność,9
2TMR,2021-05-14,nieobecność,16
2TMR,2021-05-17,nieobecność,15
2TMR,2021-05-20,nieobecność,24
2TMR,2021-05-21,nieobecność,24
2TMR,2021-05-27,nieobecność,31
2TMR,2021-05-28,nieobecność,50
2TMR,2020-09-03,nieobecność,11
2TMR,2020-09-11,nieobecność,6
2TMR,2020-09-14,nieobecność,4
2TMR,2020-09-18,nieob. uspraw.,51
2TMR,2020-09-23,nieob. uspraw.,13
2TMR,2020-09-24,nieob. uspraw.,35
2TMR,2020-09-25,nieob. uspraw.,32
2TMR,2020-09-28,nieob. uspraw.,18
2TMR,2020-10-19,nieobecność,13
2TMR,2020-10-29,nieobecność,14
2TMR,2020-10-30,nieobecność,23
2TMR,2020-11-02,nieobecność,33
2TMR,2020-11-03,nieobecność,25
2TMR,2020-11-05,spóźnienie,2
2TMR,2020-11-16,nieobecność,21
2TMR,2020-11-17,nieobecność,17
2TMR,2020-11-24,nieobecność,35
2TMR,2020-11-25,nieobecność,25
2TMR,2020-11-27,nieobecność,10
2TMR,2020-12-02,nieobecność,17
2TMR,2020-12-04,nieobecność,33
2TMR,2020-12-07,nieobecność,16
2TMR,2020-12-15,nieobecność,27
2TMR,2020-12-16,nieobecność,23
2TMR,2020-12-18,nieobecność,5
2TMR,2020-12-22,nieob. uspraw.,6
2TMR,2021-01-19,nieobecność,10
2TMR,2021-01-20,nieobecność,12
2TMR,2021-01-25,nieobecność,18
2TMR,2021-01-27,nieobecność,34
2TMR,2021-01-28,nieobecność,24
2TMR,2021-01-29,nieobecność,30
2TMR,2021-02-01,nieob. uspraw.,12
2TMR,2021-02-03,nieobecność,2
2TMR,2021-02-04,obecność,65
2TMR,2021-02-04,nieobecność,12
2TMR,2021-02-10,nieob. uspraw.,25
2TMR,2021-02-17,nieobecność,27
2TMR,2021-02-23,nieob. uspraw.,21
2TMR,2021-02-24,nieobecność,14
2TMR,2021-03-01,nieobecność,11
2TMR,2021-03-02,nieob. uspraw.,32
2TMR,2021-03-03,nieobecność,16
2TMR,2021-03-17,spóźnienie,4
2TMR,2021-03-19,nieob. uspraw.,20
2TMR,2021-03-22,nieob. uspraw.,10
2TMR,2021-03-23,nieob. uspraw.,24
2TMR,2021-03-23,spóźnienie,4
2TMR,2021-03-24,spóźnienie,5
2TMR,2021-03-29,nieob. uspraw.,8
2TMR,2021-03-30,nieob. uspraw.,8
2TMR,2021-04-07,nieob. uspraw.,26
2TMR,2021-04-12,nieob. uspraw.,17
2TMR,2021-04-14,nieob. uspraw.,4
2TMR,2021-04-15,nieob. uspraw.,5
2TMR,2021-04-21,nieob. uspraw.,14
2TMR,2021-04-23,nieob. uspraw.,13
2TMR,2021-04-27,nieob. uspraw.,26
2TMR,2021-05-10,nieob. uspraw.,15
2TMR,2021-05-12,nieob. uspraw.,22
2TMR,2021-05-17,spóźnienie,4
2TMR,2021-05-17,nieob. uspraw.,27
2TMR,2021-05-18,nieob. uspraw.,18
2TMR,2021-05-18,nieobecność,19
2TMR,2021-05-21,nieob. uspraw.,15
2TMR,2020-09-04,spóźnienie,2
2TMR,2020-09-07,nieobecność,5
2TMR,2020-09-08,nieobecność,16
2TMR,2020-09-09,nieobecność,11
2TMR,2020-09-15,nieobecność,7
2TMR,2020-09-16,nieobecność,2
2TMR,2020-09-22,nieobecność,8
2TMR,2020-09-23,nieobecność,2
2TMR,2020-09-24,nieobecność,14
2TMR,2020-09-25,nieobecność,10
2TMR,2020-09-28,nieobecność,15
2TMR,2020-09-29,nieobecność,4
2TMR,2020-09-30,nieobecność,4
2TMR,2020-10-02,nieobecność,24
2TMR,2020-10-06,nieobecność,8
2TMR,2020-10-07,nieobecność,7
2TMR,2020-10-12,nieobecność,22
2TMR,2020-10-13,nieobecność,4
2TMR,2020-10-16,nieobecność,16
2TMR,2020-10-20,nieobecność,18
2TMR,2020-10-28,nieobecność,20
2TMR,2020-11-18,nieobecność,11
2TMR,2020-11-23,spóźnienie,3
2TMR,2020-12-07,spóźnienie,4
2TMR,2020-12-08,nieob. uspraw.,18
2TMR,2020-12-09,nieobecność,5
2TMR,2020-12-10,nieob. uspraw.,8
2TMR,2020-12-11,nieobecność,21
2TMR,2021-01-21,nieob. uspraw.,16
2TMR,2021-01-22,spóźnienie,3
2TMR,2021-01-26,spóźnienie,2
2TMR,2021-01-27,nieob. uspraw.,26
2TMR,2021-01-28,nieob. uspraw.,28
2TMR,2021-01-29,nieob. uspraw.,26
2TMR,2021-02-01,nieobecność,18
2TMR,2021-02-02,nieobecność,13
2TMR,2021-02-03,nieob. uspraw.,27
2TMR,2021-02-04,nieob. uspraw.,25
2TMR,2021-02-08,nieobecność,10
2TMR,2021-02-09,nieobecność,21
2TMR,2021-02-10,nieobecność,12
2TMR,2021-02-12,nieob. uspraw.,8
2TMR,2021-02-16,nieobecność,24
2TMR,2021-02-22,nieobecność,16
2TMR,2021-02-23,nieobecność,17
2TMR,2021-02-24,nieob. uspraw.,16
2TMR,2021-02-25,nieob. uspraw.,40
2TMR,2021-02-26,nieobecność,21
2TMR,2021-03-01,nieob. uspraw.,12
2TMR,2021-03-08,nieob. uspraw.,11
2TMR,2021-03-10,nieob. uspraw.,17
2TMR,2021-03-12,nieobecność,16
2TMR,2021-03-15,nieob. uspraw.,21
2TMR,2021-03-23,nieobecność,22
2TMR,2021-03-24,nieobecność,11
2TMR,2021-03-26,nieobecność,21
2TMR,2021-03-31,nieobecność,20
2TMR,2021-04-08,nieobecność,8
2TMR,2021-04-09,nieobecność,17
2TMR,2021-04-13,nieobecność,15
2TMR,2021-04-15,nieobecność,10
2TMR,2021-04-16,nieobecność,24
2TMR,2021-04-21,nieobecność,7
2TMR,2021-04-22,nieobecność,38
2TMR,2021-04-27,nieobecność,29
2TMR,2021-05-11,nieobecność,13
2TMR,2021-05-12,nieobecność,19
2TMR,2020-09-29,nieob. uspr. p.s.,3
2TMR,2020-10-26,spóźnienie,3
2TMR,2020-11-16,nieob. uspraw.,16
2TMR,2020-11-19,nieobecność,12
2TMR,2020-11-30,spóźnienie,9
2TMR,2021-01-19,nieob. uspraw.,9
2TMR,2021-02-19,nieob. uspraw.,4
2TMR,2021-03-03,nieob. uspraw.,7
2TMR,2021-03-24,spóźn. uspr.,2
2TMR,2021-03-29,spóźn. uspr.,2
2TMR,2021-04-09,nieob. uspraw.,11
2TMR,2021-04-15,spóźn. uspr.,1
2TMR,2021-04-26,nieob. uspraw.,13
2TMR,2021-05-19,nieob. uspraw.,11
2TMR,2020-09-03,nieob. uspraw.,9
2TMR,2020-09-08,nieob. uspraw.,18
2TMR,2020-09-09,nieob. uspraw.,7
2TMR,2020-09-10,nieob. uspraw.,1
2TMR,2020-09-14,nieob. uspraw.,28
2TMR,2020-09-15,nieob. uspraw.,20
2TMR,2020-09-17,nieob. uspraw.,27
2TMR,2020-09-22,nieob. uspraw.,57
2TMR,2020-09-23,spóźnienie,1
2TMR,2020-09-30,nieob. uspraw.,9
2TMR,2020-10-06,nieob. uspraw.,17
2TMR,2020-10-08,nieob. uspraw.,19
2TMR,2020-10-19,nieob. uspraw.,9
2TMR,2020-10-21,nieob. uspraw.,6
2TMR,2020-10-22,nieob. uspraw.,11
2TMR,2020-10-26,nieob. uspraw.,14
2TMR,2020-10-27,nieob. uspraw.,6
2TMR,2020-10-29,nieob. uspraw.,18
2TMR,2020-11-03,nieob. uspraw.,7
2TMR,2020-11-04,nieob. uspraw.,4
2TMR,2020-11-06,nieob. uspraw.,16
2TMR,2020-11-09,nieob. uspraw.,14
2TMR,2020-11-10,nieob. uspraw.,2
2TMR,2020-11-12,nieob. uspraw.,3
2TMR,2020-11-23,nieob. uspraw.,14
2TMR,2020-11-24,nieob. uspraw.,8
2TMR,2020-11-25,nieob. uspraw.,10
2TMR,2020-12-01,nieob. uspraw.,15
2TMR,2020-12-01,spóźnienie,1
2TMR,2020-12-04,nieob. uspraw.,15
2TMR,2020-12-11,nieob. uspraw.,8
2TMR,2021-01-22,nieob. uspraw.,11
2TMR,2021-01-25,nieob. uspraw.,18
2TMR,2021-02-02,nieob. uspraw.,10
2TMR,2021-02-15,spóźnienie,3
2TMR,2021-02-18,nieobecność,16
2TMR,2021-02-19,nieobecność,10
2TMR,2021-03-02,nieobecność,5
2TMR,2021-03-04,nieobecność,16
2TMR,2021-03-05,nieobecność,12
2TMR,2021-03-10,nieobecność,8
2TMR,2021-03-15,nieobecność,6
2TMR,2021-03-16,nieobecność,14
2TMR,2021-03-17,nieobecność,21
2TMR,2021-04-07,nieobecność,6
2TMR,2021-04-19,nieobecność,13
2TMR,2021-04-20,nieobecność,18
2TMR,2021-04-23,nieobecność,23
2TMR,2021-05-19,nieobecność,14
2TMR,2021-05-25,nieobecność,5
2TMR,2021-05-26,nieobecność,6
2TMR,2020-09-21,nieob. uspraw.,33
2TMR,2020-10-12,nieob. uspr. p.s.,4
2TMR,2020-11-02,spóźnienie,3
2TMR,2020-11-13,nieob. uspraw.,12
2TMR,2020-11-20,nieob. uspraw.,13
2TMR,2020-12-21,spóźnienie,2
2TMR,2021-01-21,nieobecność,10
2TMR,2021-03-08,nieobecność,10
2TMR,2021-03-19,nieobecność,9
2TMR,2021-04-20,spóźnienie,3
2TMR,2021-04-26,nieobecność,5
2TMR,2021-05-13,nieobecność,14
2TMR,2020-11-18,spóźnienie,2
2TMR,2021-04-13,spóźnienie,1
2TMR,2021-04-14,nieobecność,7
2TMR,2021-04-30,nieobecność,19
2TMR,2021-05-24,nieobecność,4
2TMR,2020-09-01,nieob. uspraw.,8
2TMR,2020-09-02,nieob. uspraw.,6
2TMR,2020-09-04,nieob. uspraw.,8
2TMR,2020-09-21,nieob. uspr. p.s.,1
2TMR,2020-09-28,nieob. uspr. p.s.,4
2TMR,2020-10-01,nieob. uspraw.,17
2TMR,2020-10-05,nieob. uspraw.,23
2TMR,2020-10-08,nieob. uspr. p.s.,3
2TMR,2020-10-12,nieob. uspraw.,1
2TMR,2020-10-15,nieob. uspr. p.s.,3
2TMR,2020-10-16,nieob. uspraw.,8
2TMR,2020-10-28,nieob. uspraw.,7
2TMR,2020-10-30,nieob. uspraw.,8
2TMR,2020-11-02,nieob. uspraw.,13
2TMR,2020-11-05,nieob. uspraw.,2
2TMR,2020-11-18,nieob. uspraw.,6
2TMR,2020-11-27,nieob. uspraw.,1
2TMR,2020-11-30,spóźn. uspr.,1
2TMR,2020-12-03,nieobecność,7
2TMR,2020-12-14,spóźn. uspr.,1
2TMR,2020-12-14,nieob. uspraw.,18
2TMR,2020-12-15,nieob. uspraw.,12
2TMR,2020-12-17,nieob. uspraw.,8
2TMR,2020-12-18,nieob. uspraw.,2
2TMR,2021-02-05,nieob. uspraw.,18
2TMR,2021-03-04,nauka zdalna,8
2TMR,2021-03-15,spóźn. uspr.,2
2TMR,2021-03-25,spóźn. uspr.,1
2TMR,2021-03-26,nieob. uspraw.,18
2TMR,2021-04-08,nieob. uspraw.,8
2TMR,2021-04-22,spóźnienie,2
2TMR,2021-05-24,nieob. uspraw.,17
2TMR,2021-05-26,nieob. uspraw.,18
2TMR,2020-09-07,nieob. uspraw.,10
2TMR,2020-10-02,nieob. uspraw.,43
2TMR,2020-10-13,nieob. uspraw.,4
2TMR,2020-10-30,spóźnienie,1
2TMR,2020-12-02,nieob. uspraw.,11
2TMR,2020-12-08,nieobecność,13
2TMR,2021-01-25,spóźnienie,8
2TMR,2021-03-30,spóźnienie,1
2TMR,2021-04-19,spóźn. uspr.,1
2TMR,2020-11-26,nieobecność,8
2TMR,2020-12-11,spóźnienie,2
2TMR,2021-02-05,obecność,35
2TMR,2021-02-12,obecność,50
2TMR,2021-02-18,nieob. uspr. p.s.,8
2TMR,2021-05-19,spóźnienie,1
2TMR,2020-10-15,nieob. uspraw.,14
2TMR,2020-10-20,zwolniony,2
2TMR,2021-04-29,nieob. uspraw.,16
2TMR,2020-10-20,nieob. uspraw.,1
2TMR,2021-02-25,nieobecność,16
2TMR,2021-04-09,spóźnienie,5
2TMR,2020-09-17,zwolniony,2
2TMR,2020-12-10,nieobecność,20
2TMR,2021-03-18,nieobecność,12
2TMR,2021-04-29,nieobecność,24
2TMR,2020-09-29,nieob. uspraw.,8
2TMR,2020-10-06,zwolniony,2
2TMR,2020-10-07,nieob. uspraw.,12
2TMR,2020-11-09,spóźnienie,1
2TMR,2020-11-16,spóźnienie,1
2TMR,2020-12-18,spóźnienie,2
2TMR,2021-03-18,spóźnienie,2
2TMR,2020-09-14,nieob. uspr. p.s.,4
2TMR,2020-11-17,spóźnienie,2
2TMR,2020-11-30,nieob. uspraw.,9
2TMR,2021-02-11,nieob. uspraw.,9
2TMR,2021-03-01,spóźnienie,1
2TMR,2021-03-24,nieob. uspraw.,6
2TMR,2020-10-07,spóźnienie,1
2TMR,2020-11-25,spóźnienie,1
2TMR,2021-05-13,nauka zdalna,8
2TMR,2021-05-25,nieob. uspraw.,9
2TMR,2020-09-04,nieobecność,8
2TMR,2020-11-17,nieob. uspraw.,6
2TMR,2021-04-13,zwolniony,1
2TMR,2020-09-15,nieob. uspr. p.s.,2
2TMR,2021-01-25,spóźn. uspr.,1
2TMR,2021-03-18,spóźn. uspr.,1
2TMR,2020-10-23,nieob. uspraw.,8
2TMR,2020-12-09,nieob. uspraw.,3
2TMR,2020-12-21,nieob. uspraw.,3
2TMR,2021-02-16,nieob. uspr. p.s.,3
2TMR,2021-04-16,spóźnienie,1
2TMR,2021-04-26,spóźnienie,1
2TMR,2021-05-12,spóźnienie,2
2TR,2020-09-01,obecność,102
2TR,2020-09-02,obecność,126
2TR,2020-09-03,obecność,134
2TR,2020-09-04,obecność,96
2TR,2020-09-07,obecność,117
2TR,2020-09-07,nieob. uspr. p.s.,8
2TR,2020-09-08,obecność,102
2TR,2020-09-09,obecność,126
2TR,2020-09-10,obecność,124
2TR,2020-09-11,obecność,67
2TR,2020-09-14,obecność,85
2TR,2020-09-14,nieob. uspr. p.s.,6
2TR,2020-09-15,nieob. uspr. p.s.,12
2TR,2020-09-15,obecność,57
2TR,2020-09-15,nieob. uspraw.,55
2TR,2020-09-16,obecność,82
2TR,2020-09-17,obecność,97
2TR,2020-09-18,obecność,50
2TR,2020-09-21,nieob. uspraw.,21
2TR,2020-09-22,obecność,78
2TR,2020-09-23,obecność,102
2TR,2020-09-24,nieob. uspraw.,27
2TR,2020-09-25,obecność,74
2TR,2020-09-28,nieob. uspr. p.s.,6
2TR,2020-09-28,obecność,84
2TR,2020-09-29,obecność,93
2TR,2020-09-30,obecność,82
2TR,2020-10-05,obecność,82
2TR,2020-10-05,nieob. uspr. p.s.,2
2TR,2020-10-06,obecność,72
2TR,2020-10-07,obecność,104
2TR,2020-10-08,obecność,109
2TR,2020-10-09,obecność,78
2TR,2020-10-12,obecność,94
2TR,2020-10-12,nieob. uspr. p.s.,4
2TR,2020-10-13,nieob. uspr. p.s.,15
2TR,2020-10-13,obecność,60
2TR,2020-10-15,nauka zdalna,12
2TR,2020-10-15,obecność,65
2TR,2020-10-16,obecność,108
2TR,2020-10-19,obecność,119
2TR,2020-10-20,obecność,86
2TR,2020-10-21,obecność,106
2TR,2020-10-22,obecność,104
2TR,2020-10-23,obecność,44
2TR,2020-10-23,nieob. uspraw.,56
2TR,2020-10-26,nauka zdalna,102
2TR,2020-10-27,nauka zdalna,90
2TR,2020-10-28,nauka zdalna,97
2TR,2020-10-29,nauka zdalna,114
2TR,2020-10-29,nieob. uspraw.,22
2TR,2020-10-30,nauka zdalna,76
2TR,2020-11-02,nauka zdalna,105
2TR,2020-11-03,nauka zdalna,93
2TR,2020-11-04,nauka zdalna,94
2TR,2020-11-05,nauka zdalna,107
2TR,2020-11-06,nauka zdalna,78
2TR,2020-11-09,nauka zdalna,101
2TR,2020-11-10,nauka zdalna,74
2TR,2020-11-12,nauka zdalna,102
2TR,2020-11-13,nauka zdalna,75
2TR,2020-11-16,nauka zdalna,98
2TR,2020-11-17,nauka zdalna,91
2TR,2020-11-18,nauka zdalna,87
2TR,2020-11-19,nauka zdalna,120
2TR,2020-11-20,nauka zdalna,88
2TR,2020-11-23,nauka zdalna,90
2TR,2020-11-24,nauka zdalna,81
2TR,2020-11-25,nauka zdalna,116
2TR,2020-11-26,nauka zdalna,117
2TR,2020-11-27,nauka zdalna,70
2TR,2020-11-30,nauka zdalna,96
2TR,2020-12-01,nauka zdalna,87
