rok_szkolny,semestr,Dziennik,liczba_uczniow,liczba_odstajacych,frekwencja_z_odstajacymi,frekwencja_bez_odstajacych,pct_odstajacych
2024/2025,I,2TŻ,27.0,3.0,81.0,84.0,11.1
2024/2025,I,3MK,30.0,0.0,69.6,69.6,0.0
2024/2025,I,3TM5,19.0,0.0,74.0,74.0,0.0
2024/2025,I,3TR5,15.0,0.0,72.9,72.9,0.0
2024/2025,I,3TW5,23.0,1.0,76.3,78.0,4.3
2024/2025,I,3TŻ5,20.0,0.0,81.3,81.3,0.0
2024/2025,I,4RŻ5,24.0,0.0,74.9,74.9,0.0
2024/2025,I,4TM5,23.0,0.0,78.9,78.9,0.0
2024/2025,I,4TW5,22.0,4.0,81.7,86.6,18.2
2024/2025,I,5TM5,18.0,0.0,67.9,67.9,0.0
2024/2025,I,5TW5,13.0,1.0,71.8,77.3,7.7
2024/2025,I,5TŻ5,12.0,1.0,76.6,79.0,8.3
2024/2025,II,1M,18.0,0.0,57.0,57.0,0.0
2024/2025,II,1RŻ,19.0,2.0,71.2,76.0,10.5
2024/2025,II,1TMR,20.0,2.0,67.8,72.3,10.0
2024/2025,II,1TW,19.0,2.0,70.1,74.9,10.5
2024/2025,II,2M,23.0,2.0,61.8,66.0,8.7
2024/2025,II,2TMR,25.0,0.0,66.5,66.5,0.0
2024/2025,II,2TR,20.0,0.0,65.3,65.3,0.0
2024/2025,II,2TW,25.0,1.0,65.5,66.9,4.0
2024/2025,II,2TŻ,27.0,2.0,72.8,75.2,7.4
2024/2025,II,3MK,31.0,0.0,56.6,56.6,0.0
2024/2025,II,3TM5,19.0,0.0,56.9,56.9,0.0
2024/2025,II,3TR5,15.0,1.0,63.8,66.5,6.7
2024/2025,II,3TW5,23.0,0.0,61.8,61.8,0.0
2024/2025,II,3TŻ5,20.0,0.0,71.5,71.5,0.0
2024/2025,II,4RŻ5,24.0,0.0,64.0,64.0,0.0
2024/2025,II,4TM5,23.0,0.0,64.3,64.3,0.0
2024/2025,II,4TW5,22.0,2.0,72.8,74.9,9.1
2024/2025,II,5TM5,18.0,0.0,45.1,45.1,0.0
2024/2025,II,5TW5,13.0,2.0,63.2,72.3,15.4
2024/2025,II,5TŻ5,12.0,1.0,60.8,64.0,8.3
2025/2026,I,1M,17.0,0.0,71.7,71.7,0.0
2025/2026,I,1TMR,24.0,2.0,86.9,89.2,8.3
