uczen_id,Dziennik,semestr,wszystkich,nieobecnych
8690EEB1EC,4TMR,I,687,133
8690EEB1EC,4TMR,II,265,113
14B6C5205E,4TMR,I,687,145
14B6C5205E,4TMR,II,265,120
1A496B7570,4TMR,I,687,384
1A496B7570,4TMR,II,265,185
75BCF6123B,4TMR,I,687,208
75BCF6123B,4TMR,II,265,147
D0B043A863,4TMR,I,687,402
D0B043A863,4TMR,II,265,181
7F4CB815A8,4TMR,I,687,395
7F4CB815A8,4TMR,II,265,201
49413735A2,4TMR,I,687,278
49413735A2,4TMR,II,265,148
21B8C59A44,4TMR,I,687,214
21B8C59A44,4TMR,II,265,165
AB36F4F854,4TMR,I,687,280
AB36F4F854,4TMR,II,265,121
B1DAE414EE,4TMR,I,687,289
B1DAE414EE,4TMR,II,265,142
93D256FC07,4TMR,I,687,322
93D256FC07,4TMR,II,265,173
394F7D11A9,4TMR,I,687,339
394F7D11A9,4TMR,II,265,163
80E394C666,4TMR,I,687,70
80E394C666,4TMR,II,265,131
5EF68C3E6E,4TMR,I,687,287
5EF68C3E6E,4TMR,II,265,183
1ED6F96AB3,4TMR,I,687,241
1ED6F96AB3,4TMR,II,265,120
65E5992ACF,4TMR,I,687,441
65E5992ACF,4TMR,II,265,203
1D5288FE1D,4TMR,I,687,134
1D5288FE1D,4TMR,II,265,114
096F753B79,4TMR,I,687,176
096F753B79,4TMR,II,265,161
E410EA4AA0,4TMR,I,687,252
E410EA4AA0,4TMR,II,265,184
B0E4E530DF,4TMR,I,687,273
B0E4E530DF,4TMR,II,265,132
402213C4F3,4TMR,I,687,128
402213C4F3,4TMR,II,265,102
4CBA89960B,4TMR,I,687,217
4CBA89960B,4TMR,II,265,71
E95392B68D,4TMR,I,687,175
E95392B68D,4TMR,II,265,154
78E13599CC,4TR,I,654,82
78E13599CC,4TR,II,262,96
0ADA3C8421,4TR,I,654,208
0ADA3C8421,4TR,II,262,116
B7263F326B,4TR,I,654,90
B7263F326B,4TR,II,262,107
4E295DB4FC,4TR,I,654,306
4E295DB4FC,4TR,II,262,139
94BEC0E385,4TR,I,654,71
94BEC0E385,4TR,II,262,75
9D36A4CFD3,4TR,I,654,66
9D36A4CFD3,4TR,II,262,94
00C580FC9A,4TR,I,654,225
00C580FC9A,4TR,II,262,173
29F1C292A9,4TR,I,654,202
29F1C292A9,4TR,II,262,107
09A529FDC0,4TR,I,654,178
09A529FDC0,4TR,II,262,110
60D75D8E9E,4TR,I,654,122
60D75D8E9E,4TR,II,262,123
D794F30524,4TR,I,654,118
D794F30524,4TR,II,262,65
1B2ECF62C7,4TR,I,654,118
1B2ECF62C7,4TR,II,262,113
290D76477F,4TR,I,654,93
290D76477F,4TR,II,262,86
CFC3AF337C,4TR,I,654,208
CFC3AF337C,4TR,II,262,106
B197725529,4TR,I,654,224
B197725529,4TR,II,262,105
909EBF6B5C,4TR,I,654,330
909EBF6B5C,4TR,II,262,155
9DD27E96D5,4TR,I,654,176
9DD27E96D5,4TR,II,262,134
BBA95893A2,4TŻ,I,700,242
BBA95893A2,4TŻ,II,286,110
397130F9AE,4TŻ,I,700,424
397130F9AE,4TŻ,II,286,151
725BA0FCB7,4TŻ,I,700,257
725BA0FCB7,4TŻ,II,286,173
7E158F2113,4TŻ,I,700,142
7E158F2113,4TŻ,II,286,79
B0EC980C63,4TŻ,I,700,175
B0EC980C63,4TŻ,II,286,115
1048C1C498,4TŻ,I,700,88
1048C1C498,4TŻ,II,286,69
5A3CF0FEF9,4TŻ,I,700,103
5A3CF0FEF9,4TŻ,II,286,81
26F80B74C7,4TŻ,I,700,166
26F80B74C7,4TŻ,II,286,106
AEBF7833E6,4TŻ,I,700,161
AEBF7833E6,4TŻ,II,286,162
BE7B9BDC1A,4TŻ,I,700,135
BE7B9BDC1A,4TŻ,II,286,109
9F7BEA7335,4TŻ,I,700,112
9F7BEA7335,4TŻ,II,286,77
B50C514E41,4TŻ,I,700,267
B50C514E41,4TŻ,II,286,124
C0022E02DA,4TŻ,I,700,33
C0022E02DA,4TŻ,II,286,30
70D01B4E57,4TŻ,I,700,218
70D01B4E57,4TŻ,II,286,135
F4A043FB46,4TŻ,I,700,177
F4A043FB46,4TŻ,II,286,138
2156D0BBCA,4TŻ,I,700,228
2156D0BBCA,4TŻ,II,286,145
6C519C7383,4TŻ,I,700,286
6C519C7383,4TŻ,II,286,151
FEE9305EE8,4TŻ,I,700,290
FEE9305EE8,4TŻ,II,286,169
994C98B017,4TŻ,I,700,82
994C98B017,4TŻ,II,286,151
0D4CB53859,4TŻ,I,700,91
0D4CB53859,4TŻ,II,286,113
809530C18F,1TM5,I,752,65
809530C18F,1TM5,II,511,95
BF6AEF8C61,1TM5,I,752,27
BF6AEF8C61,1TM5,II,511,129
634A361DE2,1TM5,I,752,95
634A361DE2,1TM5,II,511,158
9EE013BC2A,1TM5,I,752,127
9EE013BC2A,1TM5,II,511,216
6CBA33ABB7,1TM5,I,228,61
6CBA33ABB7,1TM5,II,511,99
92FDDFBFA6,1TM5,I,752,177
92FDDFBFA6,1TM5,II,511,157
36C712836D,1TM5,I,752,128
36C712836D,1TM5,II,511,127
ABAF891FDF,1TM5,I,752,19
ABAF891FDF,1TM5,II,511,50
5F9041FF2E,1TM5,I,752,81
5F9041FF2E,1TM5,II,511,122
E0485821C4,1TM5,I,752,27
E0485821C4,1TM5,II,511,66
914E65548B,1TM5,I,752,160
914E65548B,1TM5,II,511,133
F9B70B42DE,1TM5,I,752,68
F9B70B42DE,1TM5,II,511,56
4377BA6D39,1TM5,I,753,131
4377BA6D39,1TM5,II,510,170
58C6C49BB3,1TM5,I,753,146
58C6C49BB3,1TM5,II,510,172
70D67517C5,1TM5,I,753,108
70D67517C5,1TM5,II,510,141
805DEAEF7F,1TM5,I,753,127
805DEAEF7F,1TM5,II,510,134
BCC2D2097C,1TM5,I,1506,113
BCC2D2097C,1TM5,II,1020,177
4EB5ED671B,1TM5,I,753,123
4EB5ED671B,1TM5,II,510,133
C23F7A58D4,1TM5,I,753,100
C23F7A58D4,1TM5,II,510,186
A976A8F4A3,1TM5,I,753,98
A976A8F4A3,1TM5,II,510,76
41B03EE727,1TM5,I,753,90
41B03EE727,1TM5,II,510,160
