Dziennik,Data,Wpis,Liczba
1RŻ,2025-04-28,nieob. uspraw.,9
1RŻ,2025-04-28,obecność,131
1RŻ,2025-04-29,obecność,114
1RŻ,2025-04-30,obecność,95
1RŻ,2025-04-30,nieob. uspraw.,33
1RŻ,2025-05-07,obecność,93
1RŻ,2025-05-08,obecność,76
1RŻ,2025-05-09,obecność,85
1RŻ,2025-05-12,obecność,93
1RŻ,2025-05-13,obecność,68
1RŻ,2025-05-14,obecność,86
1RŻ,2025-05-15,obecność,69
1RŻ,2025-05-16,obecność,71
1RŻ,2025-05-19,obecność,91
1RŻ,2025-05-19,,5
1RŻ,2025-05-20,obecność,97
1RŻ,2025-05-21,obecność,98
1RŻ,2025-05-22,obecność,102
1RŻ,2025-05-22,nieob. uspr. p.s.,13
1RŻ,2025-05-23,nieob. uspr. p.s.,119
1RŻ,2025-05-26,nieob. uspraw.,49
1RŻ,2025-05-27,obecność,94
1RŻ,2025-05-28,obecność,94
1RŻ,2025-05-28,nieob. uspraw.,25
1RŻ,2025-05-29,obecność,95
1RŻ,2025-05-29,spóźnienie,6
1RŻ,2025-05-29,nieobecność,3
1RŻ,2025-05-30,obecność,49
1RŻ,2025-05-30,nieobecność,13
1RŻ,2025-06-02,nieobecność,19
1RŻ,2025-06-03,nieobecność,11
1RŻ,2025-06-03,obecność,63
1RŻ,2025-06-04,obecność,116
1RŻ,2025-06-05,obecność,90
1RŻ,2025-06-06,obecność,85
1RŻ,2025-06-09,obecność,107
1RŻ,2025-06-10,spóźnienie,2
1RŻ,2025-06-10,obecność,76
1RŻ,2025-06-11,spóźnienie,3
1RŻ,2025-06-11,obecność,77
1RŻ,2024-09-05,spóźnienie,10
1RŻ,2024-09-10,spóźnienie,3
1RŻ,2024-09-12,nieobecność,8
1RŻ,2024-09-13,nieobecność,14
1RŻ,2024-09-16,nieobecność,11
1RŻ,2024-09-17,nieobecność,12
1RŻ,2024-09-18,nieobecność,10
1RŻ,2024-09-19,nieobecność,12
1RŻ,2024-09-20,nieobecność,14
1RŻ,2024-09-24,spóźnienie,2
1RŻ,2024-09-25,nieobecność,19
1RŻ,2024-09-25,spóźnienie,5
1RŻ,2024-09-26,nieobecność,6
1RŻ,2024-09-27,nieobecność,7
1RŻ,2024-09-30,nieobecność,16
1RŻ,2024-10-01,nieobecność,5
1RŻ,2024-10-01,spóźnienie,3
1RŻ,2024-10-02,spóźnienie,5
1RŻ,2024-10-04,nieobecność,18
1RŻ,2024-10-07,nieobecność,2
1RŻ,2024-10-08,spóźnienie,16
1RŻ,2024-10-08,nieobecność,4
1RŻ,2024-10-09,spóźnienie,4
1RŻ,2024-10-10,spóźnienie,7
1RŻ,2024-10-11,nieobecność,22
1RŻ,2024-10-11,,8
1RŻ,2024-10-15,nieob. uspr. p.s.,35
1RŻ,2024-10-15,nieob. uspraw.,8
1RŻ,2024-10-15,nieobecność,8
1RŻ,2024-10-16,spóźnienie,1
1RŻ,2024-10-17,spóźnienie,3
1RŻ,2024-10-18,nieobecność,10
1RŻ,2024-10-21,nieobecność,16
1RŻ,2024-10-22,nieobecność,15
1RŻ,2024-10-23,nieobecność,18
1RŻ,2024-10-24,nieobecność,9
1RŻ,2024-10-25,nieobecność,14
1RŻ,2024-10-29,nieobecność,10
1RŻ,2024-10-31,nieobecność,10
1RŻ,2024-11-04,nieobecność,5
1RŻ,2024-11-06,nieobecność,3
1RŻ,2024-11-06,spóźnienie,4
1RŻ,2024-11-08,nieobecność,30
1RŻ,2024-11-12,nieobecność,24
1RŻ,2024-11-14,nieobecność,7
1RŻ,2024-11-15,nieobecność,21
1RŻ,2024-11-18,nieobecność,32
1RŻ,2024-11-19,nieobecność,16
1RŻ,2024-11-19,spóźnienie,4
1RŻ,2024-11-20,nieobecność,4
1RŻ,2024-11-20,spóźnienie,5
1RŻ,2024-11-22,nieobecność,26
1RŻ,2024-11-25,spóźnienie,4
1RŻ,2024-11-25,nieobecność,15
1RŻ,2024-11-26,nieobecność,15
1RŻ,2024-11-27,nieob. uspr. p.s.,3
1RŻ,2024-11-28,nieobecność,2
1RŻ,2024-11-28,spóźnienie,3
1RŻ,2024-12-03,nieobecność,10
1RŻ,2024-12-05,nieobecność,38
1RŻ,2024-12-06,nieobecność,19
1RŻ,2024-12-09,nieobecność,23
1RŻ,2024-12-10,nieobecność,20
1RŻ,2024-12-11,nieobecność,19
1RŻ,2024-12-17,nieob. uspraw.,17
1RŻ,2024-12-18,nieob. uspraw.,26
1RŻ,2024-12-19,nieobecność,20
1RŻ,2024-12-20,nieobecność,16
1RŻ,2025-01-07,nieobecność,23
1RŻ,2025-01-08,spóźnienie,3
1RŻ,2025-01-09,nieobecność,7
1RŻ,2025-01-10,nieobecność,9
1RŻ,2025-01-13,nieobecność,10
1RŻ,2025-01-14,nieob. uspraw.,35
1RŻ,2025-01-14,nieobecność,2
1RŻ,2025-01-16,nieob. uspraw.,15
1RŻ,2025-01-17,nieobecność,9
1RŻ,2025-01-20,nieobecność,35
1RŻ,2025-01-21,nieobecność,5
1RŻ,2025-01-22,nieobecność,16
1RŻ,2025-01-27,nieob. uspraw.,8
1RŻ,2025-01-28,nieobecność,17
1RŻ,2025-01-29,nieobecność,14
1RŻ,2025-01-30,nieobecność,15
1RŻ,2025-01-31,nieobecność,13
1RŻ,2025-02-17,nieob. uspraw.,22
1RŻ,2025-02-18,nieobecność,9
1RŻ,2025-02-24,nieob. uspraw.,49
1RŻ,2025-02-25,nieob. uspraw.,20
1RŻ,2025-02-26,nieobecność,10
1RŻ,2025-02-26,spóźnienie,5
1RŻ,2025-02-27,nieobecność,1
1RŻ,2025-02-28,nieob. uspraw.,12
1RŻ,2025-03-03,nieob. uspraw.,9
1RŻ,2025-03-04,nieob. uspraw.,14
1RŻ,2025-03-05,nieobecność,20
1RŻ,2025-03-06,nieobecność,19
1RŻ,2025-03-11,nieob. uspraw.,27
1RŻ,2025-03-12,nieobecność,8
1RŻ,2025-03-13,nieobecność,12
1RŻ,2025-03-14,nieobecność,17
1RŻ,2025-03-17,nieobecność,22
1RŻ,2025-03-18,nieobecność,16
1RŻ,2025-03-19,nieobecność,9
1RŻ,2025-03-19,spóźnienie,4
1RŻ,2025-03-20,nieobecność,17
1RŻ,2025-03-24,nieobecność,3
1RŻ,2025-03-24,nieob. uspraw.,37
1RŻ,2025-03-25,nieobecność,19
1RŻ,2025-03-26,nieobecność,13
1RŻ,2025-03-31,nieob. uspr. p.s.,1
1RŻ,2025-03-31,nieobecność,4
1RŻ,2025-04-02,nieob. uspraw.,24
1RŻ,2025-04-04,nieobecność,13
1RŻ,2025-04-04,spóźnienie,4
1RŻ,2025-04-08,nieobecność,8
1RŻ,2025-04-09,nieobecność,10
1RŻ,2025-04-11,nieobecność,16
1RŻ,2025-04-14,nieobecność,18
1RŻ,2025-04-15,nieobecność,11
1RŻ,2025-04-16,nieobecność,13
1RŻ,2025-04-25,nieobecność,9
1RŻ,2025-04-28,nieobecność,4
1RŻ,2025-04-30,spóźnienie,3
1RŻ,2025-04-30,nieobecność,8
1RŻ,2025-05-07,spóźnienie,3
1RŻ,2025-05-07,nieobecność,35
1RŻ,2025-05-08,nieobecność,39
1RŻ,2025-05-09,nieobecność,29
1RŻ,2025-05-12,nieobecność,17
1RŻ,2025-05-13,nieobecność,13
1RŻ,2025-05-14,nieobecność,14
1RŻ,2025-05-15,nieobecność,19
1RŻ,2025-05-16,nieobecność,9
1RŻ,2025-05-19,nieobecność,16
1RŻ,2025-05-20,nieobecność,6
1RŻ,2025-05-21,nieobecność,22
1RŻ,2025-05-22,nieobecność,11
1RŻ,2025-05-26,nieobecność,16
1RŻ,2025-05-27,nieobecność,6
1RŻ,2025-05-28,nieobecność,11
1RŻ,2025-06-02,obecność,104
1RŻ,2025-06-04,nieobecność,11
1RŻ,2025-06-05,nieobecność,16
1RŻ,2025-06-06,nieobecność,12
1RŻ,2025-06-09,nieobecność,28
1RŻ,2025-06-10,nieobecność,22
1RŻ,2025-06-11,nieobecność,18
1RŻ,2025-06-12,nieobecność,25
1RŻ,2024-09-05,nieobecność,9
1RŻ,2024-09-09,nieobecność,3
1RŻ,2024-09-10,nieobecność,5
1RŻ,2024-09-11,nieobecność,19
1RŻ,2024-09-17,nieob. uspraw.,8
1RŻ,2024-09-18,nieob. uspraw.,13
1RŻ,2024-09-23,nieobecność,16
1RŻ,2024-09-24,nieobecność,7
1RŻ,2024-09-27,spóźnienie,2
1RŻ,2024-10-02,nieob. uspraw.,18
1RŻ,2024-10-03,nieobecność,12
1RŻ,2024-10-04,spóźnienie,3
1RŻ,2024-10-07,nieob. uspraw.,36
1RŻ,2024-10-09,nieobecność,1
1RŻ,2024-10-16,nieobecność,7
1RŻ,2024-10-29,nieob. uspraw.,8
1RŻ,2024-10-30,nieob. uspraw.,9
1RŻ,2024-10-31,nieob. uspraw.,50
1RŻ,2024-11-05,nieobecność,10
1RŻ,2024-11-07,nieobecność,9
1RŻ,2024-11-13,nieobecność,5
1RŻ,2024-11-21,nieobecność,10
1RŻ,2024-11-27,nieobecność,8
1RŻ,2024-11-29,nieobecność,12
1RŻ,2024-12-02,nieobecność,8
1RŻ,2024-12-04,nieobecność,14
