uczen_id,Dziennik,semestr,wszystkich,nieobecnych
8690EEB1EC,2TMR,I,559,50
8690EEB1EC,2TMR,II,641,46
14B6C5205E,2TMR,I,575,53
14B6C5205E,2TMR,II,641,101
75BCF6123B,2TMR,I,575,115
75BCF6123B,2TMR,II,641,163
D0B043A863,2TMR,I,575,318
D0B043A863,2TMR,II,641,278
7F4CB815A8,2TMR,I,575,127
7F4CB815A8,2TMR,II,641,192
49413735A2,2TMR,I,575,131
49413735A2,2TMR,II,641,174
21B8C59A44,2TMR,I,575,107
21B8C59A44,2TMR,II,641,115
AB36F4F854,2TMR,I,575,84
AB36F4F854,2TMR,II,641,96
B1DAE414EE,2TMR,I,560,178
B1DAE414EE,2TMR,II,641,217
93D256FC07,2TMR,I,575,207
93D256FC07,2TMR,II,641,173
394F7D11A9,2TMR,I,575,78
394F7D11A9,2TMR,II,631,117
80E394C666,2TMR,I,575,55
80E394C666,2TMR,II,631,73
5EF68C3E6E,2TMR,I,575,113
5EF68C3E6E,2TMR,II,631,88
1ED6F96AB3,2TMR,I,575,151
1ED6F96AB3,2TMR,II,631,210
65E5992ACF,2TMR,I,575,279
65E5992ACF,2TMR,II,631,227
1D5288FE1D,2TMR,I,575,22
1D5288FE1D,2TMR,II,631,5
096F753B79,2TMR,I,575,78
096F753B79,2TMR,II,631,139
E410EA4AA0,2TMR,I,575,175
E410EA4AA0,2TMR,II,631,123
B0E4E530DF,2TMR,I,575,103
B0E4E530DF,2TMR,II,631,236
402213C4F3,2TMR,I,575,32
402213C4F3,2TMR,II,631,32
4CBA89960B,2TMR,I,575,107
4CBA89960B,2TMR,II,631,177
E95392B68D,2TMR,I,575,58
E95392B68D,2TMR,II,631,99
78E13599CC,2TR,I,513,45
78E13599CC,2TR,II,584,128
D0A43425CF,2TR,I,527,262
D0A43425CF,2TR,II,584,449
0ADA3C8421,2TR,I,527,109
0ADA3C8421,2TR,II,584,139
B7263F326B,2TR,I,527,158
B7263F326B,2TR,II,584,166
4E295DB4FC,2TR,I,527,252
4E295DB4FC,2TR,II,584,335
94BEC0E385,2TR,I,527,35
94BEC0E385,2TR,II,584,58
9D36A4CFD3,2TR,I,513,31
9D36A4CFD3,2TR,II,584,14
00C580FC9A,2TR,I,527,74
00C580FC9A,2TR,II,584,110
29F1C292A9,2TR,I,527,102
29F1C292A9,2TR,II,584,138
09A529FDC0,2TR,I,527,22
09A529FDC0,2TR,II,584,3
60D75D8E9E,2TR,I,527,93
60D75D8E9E,2TR,II,584,189
D794F30524,2TR,I,527,82
D794F30524,2TR,II,584,43
1B2ECF62C7,2TR,I,527,208
1B2ECF62C7,2TR,II,584,151
290D76477F,2TR,I,527,87
290D76477F,2TR,II,584,165
CFC3AF337C,2TR,I,527,66
CFC3AF337C,2TR,II,584,75
B197725529,2TR,I,527,183
B197725529,2TR,II,584,228
909EBF6B5C,2TR,I,527,241
909EBF6B5C,2TR,II,584,281
9DD27E96D5,2TR,I,527,99
9DD27E96D5,2TR,II,584,85
BBA95893A2,2TŻ,I,563,178
BBA95893A2,2TŻ,II,641,218
CDE1F65A8C,2TŻ,I,563,458
CDE1F65A8C,2TŻ,II,37,35
397130F9AE,2TŻ,I,563,75
397130F9AE,2TŻ,II,641,248
8F81E96C5D,2TŻ,I,563,177
8F81E96C5D,2TŻ,II,641,205
725BA0FCB7,2TŻ,I,563,134
725BA0FCB7,2TŻ,II,641,258
7E158F2113,2TŻ,I,563,41
7E158F2113,2TŻ,II,641,74
B0EC980C63,2TŻ,I,563,67
B0EC980C63,2TŻ,II,641,60
1048C1C498,2TŻ,I,563,72
1048C1C498,2TŻ,II,641,139
5A3CF0FEF9,2TŻ,I,563,44
5A3CF0FEF9,2TŻ,II,641,254
26F80B74C7,2TŻ,I,546,16
26F80B74C7,2TŻ,II,641,56
AEBF7833E6,2TŻ,I,563,80
AEBF7833E6,2TŻ,II,641,91
BE7B9BDC1A,2TŻ,I,563,21
BE7B9BDC1A,2TŻ,II,641,59
13ADCA38B2,2TŻ,I,563,61
13ADCA38B2,2TŻ,II,625,97
9F7BEA7335,2TŻ,I,563,62
9F7BEA7335,2TŻ,II,625,37
B50C514E41,2TŻ,I,563,13
B50C514E41,2TŻ,II,625,44
C0022E02DA,2TŻ,I,563,6
C0022E02DA,2TŻ,II,625,28
70D01B4E57,2TŻ,I,563,53
70D01B4E57,2TŻ,II,625,36
F4A043FB46,2TŻ,I,548,84
F4A043FB46,2TŻ,II,625,83
2156D0BBCA,2TŻ,I,563,96
2156D0BBCA,2TŻ,II,625,234
6C519C7383,2TŻ,I,563,57
6C519C7383,2TŻ,II,625,73
FEE9305EE8,2TŻ,I,563,117
FEE9305EE8,2TŻ,II,625,124
994C98B017,2TŻ,I,563,72
994C98B017,2TŻ,II,625,58
0D4CB53859,2TŻ,I,563,29
0D4CB53859,2TŻ,II,625,63
7089F7F9F9,3TRM,I,552,158
7089F7F9F9,3TRM,II,745,251
A01C564803,3TRM,I,552,131
A01C564803,3TRM,II,745,188
A063112131,3TRM,I,552,86
A063112131,3TRM,II,745,236
CF3C47B9DD,3TRM,I,506,118
CF3C47B9DD,3TRM,II,624,180
CA42DF31B5,3TRM,I,552,86
CA42DF31B5,3TRM,II,745,215
74F2BFDEC5,3TRM,I,552,139
74F2BFDEC5,3TRM,II,745,169
1A496B7570,3TRM,I,552,245
1A496B7570,3TRM,II,745,353
10FEB95376,3TRM,I,506,105
10FEB95376,3TRM,II,624,237
1FD8036CC2,3TRM,I,493,38
1FD8036CC2,3TRM,II,570,140
94255F7902,3TRM,I,506,141
94255F7902,3TRM,II,624,213
257D09CDC9,3TRM,I,552,106
257D09CDC9,3TRM,II,745,151
8056F5B3A4,3TRM,I,494,61
8056F5B3A4,3TRM,II,624,145
AF3BC7449A,3TRM,I,552,108
AF3BC7449A,3TRM,II,739,192
58F496ACD6,3TRM,I,552,41
58F496ACD6,3TRM,II,745,101
D1F55192B4,3TRM,I,545,48
D1F55192B4,3TRM,II,745,192
