uczen_id,Dziennik,semestr,wszystkich,nieobecnych
7672689A0F,1RŻ,I,571,15
7672689A0F,1RŻ,II,688,65
E677A2C610,1RŻ,I,570,267
E677A2C610,1RŻ,II,701,488
1A8A6B0FC8,1RŻ,I,570,305
1A8A6B0FC8,1RŻ,II,764,529
CFAA093389,1RŻ,I,555,103
CFAA093389,1RŻ,II,728,216
7EB1118E2B,1RŻ,I,555,89
7EB1118E2B,1RŻ,II,728,165
3EB3F892FB,1RŻ,I,570,179
3EB3F892FB,1RŻ,II,693,205
C691BA9630,1RŻ,I,549,56
C691BA9630,1RŻ,II,660,101
1EA6DCF969,1RŻ,I,549,134
1EA6DCF969,1RŻ,II,660,195
048BDF9C42,1RŻ,I,570,152
048BDF9C42,1RŻ,II,693,134
EF7CDF8C95,1RŻ,I,555,122
EF7CDF8C95,1RŻ,II,728,293
CA164116DD,1RŻ,I,555,106
CA164116DD,1RŻ,II,728,233
1B27A450B8,1RŻ,I,555,56
1B27A450B8,1RŻ,II,511,99
BEDF3FC793,1RŻ,II,461,64
79B8AABB74,1RŻ,I,549,185
79B8AABB74,1RŻ,II,660,256
7D9E1CFBA6,1RŻ,I,549,70
7D9E1CFBA6,1RŻ,II,660,172
3A42F6F782,1RŻ,I,396,53
3A42F6F782,1RŻ,II,515,106
844F545F8D,1RŻ,I,534,14
844F545F8D,1RŻ,II,692,89
DAB55A3494,1RŻ,I,534,136
DAB55A3494,1RŻ,II,692,172
99AD4362C5,1RŻ,I,555,61
99AD4362C5,1RŻ,II,728,174
7672689A0F,1TMR,II,75,53
E1F467CA3D,1TMR,I,553,141
E1F467CA3D,1TMR,II,738,248
7D9A8DFBEF,1TMR,I,553,63
7D9A8DFBEF,1TMR,II,738,233
9B18D9BE98,1TMR,I,531,85
9B18D9BE98,1TMR,II,711,180
C745E2D829,1TMR,I,531,119
C745E2D829,1TMR,II,711,227
C039135C89,1TMR,I,531,22
C039135C89,1TMR,II,711,135
7EFD1AF7BF,1TMR,I,531,55
7EFD1AF7BF,1TMR,II,711,124
60FD3568FA,1TMR,I,553,51
60FD3568FA,1TMR,II,738,227
3EB3F892FB,1TMR,II,59,44
BACFA2C4CA,1TMR,I,531,158
BACFA2C4CA,1TMR,II,711,263
6AF1D956A2,1TMR,I,463,40
6AF1D956A2,1TMR,II,599,187
1146BBBFF5,1TMR,I,149,44
7E2671BD35,1TMR,I,554,11
7E2671BD35,1TMR,II,729,39
4160F987C1,1TMR,I,554,107
4160F987C1,1TMR,II,729,155
EE6501656E,1TMR,I,554,172
EE6501656E,1TMR,II,664,262
05E3A75875,1TMR,I,554,16
05E3A75875,1TMR,II,729,35
048BDF9C42,1TMR,II,73,35
7FC8D84EE7,1TMR,I,554,85
7FC8D84EE7,1TMR,II,729,239
78C8D08E0D,1TMR,I,554,38
78C8D08E0D,1TMR,II,729,166
5ED2B87721,1TMR,I,554,51
5ED2B87721,1TMR,II,729,191
36A8585508,1TMR,I,554,104
36A8585508,1TMR,II,729,293
134C356101,1TMR,I,30,0
FA58A769C3,1TW,I,545,37
FA58A769C3,1TW,II,727,109
6623F9C560,1TW,I,527,123
6623F9C560,1TW,II,727,229
F01C3B5B41,1TW,I,527,114
F01C3B5B41,1TW,II,727,229
75F61E82BE,1TW,I,539,103
75F61E82BE,1TW,II,727,213
7E2186E73A,1TW,I,545,28
7E2186E73A,1TW,II,727,86
495C87F778,1TW,I,527,79
495C87F778,1TW,II,727,216
7B41F62E15,1TW,I,104,65
56FEA389A0,1TW,I,545,15
56FEA389A0,1TW,II,727,70
37CFA1C63A,1TW,I,520,85
37CFA1C63A,1TW,II,727,240
0EAEC41C6D,1TW,I,527,93
0EAEC41C6D,1TW,II,721,186
C691BA9630,1TW,II,64,54
5158AD93BE,1TW,I,545,162
5158AD93BE,1TW,II,721,409
9028A77BE1,1TW,I,545,49
9028A77BE1,1TW,II,721,153
783BC6E02D,1TW,I,545,46
783BC6E02D,1TW,II,721,196
6730233D9B,1TW,I,539,111
6730233D9B,1TW,II,721,220
75AED3C340,1TW,I,545,104
75AED3C340,1TW,II,721,252
62B04ED066,1TW,I,527,124
62B04ED066,1TW,II,721,282
7FDF19781A,1TW,I,527,45
7FDF19781A,1TW,II,721,150
134C356101,1TW,I,509,22
134C356101,1TW,II,721,106
98C64DA07D,1TW,I,539,52
98C64DA07D,1TW,II,721,147
7700936E4E,2TMR,I,583,153
7700936E4E,2TMR,II,714,287
6CBA33ABB7,2TMR,I,580,159
6CBA33ABB7,2TMR,II,121,51
F8B50A8344,2TMR,I,583,178
F8B50A8344,2TMR,II,714,335
03AEB33741,2TMR,I,583,82
03AEB33741,2TMR,II,714,157
A9E9EC6594,2TMR,I,583,46
A9E9EC6594,2TMR,II,714,157
98FEAB8F76,2TMR,I,583,81
98FEAB8F76,2TMR,II,714,126
940BF22883,2TMR,I,583,122
940BF22883,2TMR,II,714,257
23DB6BD902,2TMR,I,408,88
23DB6BD902,2TMR,II,495,208
A1243AB615,2TMR,I,583,150
A1243AB615,2TMR,II,714,247
083910DC52,2TMR,I,583,90
083910DC52,2TMR,II,714,216
FD2C74DB5D,2TMR,I,583,95
FD2C74DB5D,2TMR,II,714,215
B39E849D14,2TMR,I,583,54
B39E849D14,2TMR,II,714,224
5BF2808B10,2TMR,I,581,71
5BF2808B10,2TMR,II,711,187
7811B2DBCC,2TMR,I,553,226
7811B2DBCC,2TMR,II,675,411
B1DDFEEBB0,2TMR,I,581,108
B1DDFEEBB0,2TMR,II,711,168
D599412EEA,2TMR,I,581,207
D599412EEA,2TMR,II,711,254
3F27E14055,2TMR,I,581,85
3F27E14055,2TMR,II,711,230
2954C52C82,2TMR,I,581,158
2954C52C82,2TMR,II,711,287
D390D5A596,2TMR,I,581,94
