Dziennik,Data,Wpis,Liczba
3TMR,2021-09-01,obecność,188
3TMR,2021-09-02,obecność,97
3TMR,2021-09-02,nieob. uspr. p.s.,4
3TMR,2021-09-03,obecność,83
3TMR,2021-09-03,nieob. uspr. p.s.,3
3TMR,2021-09-06,obecność,104
3TMR,2021-09-06,nieob. uspr. p.s.,16
3TMR,2021-09-07,obecność,109
3TMR,2021-09-07,nieob. uspr. p.s.,18
3TMR,2021-09-08,nieob. uspr. p.s.,49
3TMR,2021-09-08,obecność,47
3TMR,2021-09-09,nieob. uspr. p.s.,48
3TMR,2021-09-13,obecność,86
3TMR,2021-09-13,spóźnienie,5
3TMR,2021-09-14,obecność,92
3TMR,2021-09-15,nieob. uspr. p.s.,19
3TMR,2021-09-15,obecność,99
3TMR,2021-09-16,obecność,62
3TMR,2021-09-17,obecność,92
3TMR,2021-09-20,obecność,115
3TMR,2021-09-21,obecność,98
3TMR,2021-09-22,nieob. uspraw.,74
3TMR,2021-09-23,nieob. uspraw.,72
3TMR,2021-09-24,nieob. uspraw.,75
3TMR,2021-09-27,nieob. uspraw.,43
3TMR,2021-09-28,nieob. uspraw.,26
3TMR,2021-09-29,nieob. uspraw.,42
3TMR,2021-09-29,obecność,121
3TMR,2021-09-30,obecność,119
3TMR,2021-09-30,nieob. uspraw.,33
3TMR,2021-10-01,obecność,106
3TMR,2021-10-01,spóźnienie,6
3TMR,2021-10-04,obecność,101
3TMR,2021-10-05,obecność,102
3TMR,2021-10-05,spóźnienie,9
3TMR,2021-10-06,nieob. uspraw.,64
3TMR,2021-10-07,nieob. uspraw.,65
3TMR,2021-10-07,nieobecność,14
3TMR,2021-10-08,nieob. uspraw.,56
3TMR,2021-10-11,obecność,122
3TMR,2021-10-12,obecność,117
3TMR,2021-10-12,nieob. uspr. p.s.,8
3TMR,2021-10-13,nieob. uspr. p.s.,8
3TMR,2021-10-13,obecność,129
3TMR,2021-10-15,obecność,105
3TMR,2021-10-18,obecność,121
3TMR,2021-10-19,obecność,139
