uczen_id,Dziennik,semestr,wszystkich,nieobecnych
57373E427A,1TMR,I,515,49
57373E427A,1TMR,II,700,123
DFC2B3B3A0,1TMR,I,515,51
DFC2B3B3A0,1TMR,II,700,177
69551A8998,1TMR,I,515,47
69551A8998,1TMR,II,700,116
DE3DE08108,1TMR,I,515,80
DE3DE08108,1TMR,II,700,195
37C90782D1,1TMR,I,515,35
37C90782D1,1TMR,II,700,90
ECABF2DF8B,1TMR,I,503,200
ECABF2DF8B,1TMR,II,680,215
89EB5FA95B,1TMR,I,482,185
89EB5FA95B,1TMR,II,633,217
6C6374FE51,1TMR,I,515,143
6C6374FE51,1TMR,II,700,214
A6CB543CF5,1TMR,I,503,56
A6CB543CF5,1TMR,II,680,158
85986E2C89,1TMR,I,515,77
85986E2C89,1TMR,II,700,199
6C9D8934BA,1TMR,I,490,25
6C9D8934BA,1TMR,II,661,111
F0AB965B5B,1TMR,II,665,244
F851724F2C,1TMR,I,515,20
F851724F2C,1TMR,II,700,179
998A5171D2,1TMR,I,515,53
998A5171D2,1TMR,II,700,188
976A60772D,1TMR,I,515,30
976A60772D,1TMR,II,700,104
267EF672AA,1TMR,I,515,28
267EF672AA,1TMR,II,467,76
5832904BD1,1TMR,I,515,76
5832904BD1,1TMR,II,700,185
D5274CFBD3,1TMR,I,515,23
D5274CFBD3,1TMR,II,700,136
87E71FE94F,1TMR,I,515,49
87E71FE94F,1TMR,II,700,170
B7C8567112,1TMR,I,515,56
B7C8567112,1TMR,II,700,154
C95362D1B9,1TMR,I,515,63
C95362D1B9,1TMR,II,700,129
A9EC476BB2,1TMR,I,515,81
A9EC476BB2,1TMR,II,700,214
11167041A5,1TMR,I,515,36
11167041A5,1TMR,II,700,130
33822FC181,1TMR,I,229,49
6987CC47D9,1TMR,I,515,31
6987CC47D9,1TMR,II,700,116
B48F5D26C3,1TR,I,528,126
B48F5D26C3,1TR,II,716,241
80D46F7BB8,1TR,I,533,107
80D46F7BB8,1TR,II,55,43
DD7A57F399,1TR,I,525,90
DD7A57F399,1TR,II,695,300
FDAEE28602,1TR,I,533,36
FDAEE28602,1TR,II,716,140
F1EA738B91,1TR,I,528,180
F1EA738B91,1TR,II,716,369
1146BBBFF5,1TR,I,528,141
1146BBBFF5,1TR,II,695,320
814B8F5D43,1TR,I,528,119
814B8F5D43,1TR,II,716,208
312A4EC4B0,1TR,I,528,90
312A4EC4B0,1TR,II,716,226
F583E7B258,1TR,I,29,15
0E342AE111,1TR,I,533,18
0E342AE111,1TR,II,716,105
F6ED75AC32,1TR,I,533,18
F6ED75AC32,1TR,II,716,105
EAA85770FA,1TR,I,533,72
EAA85770FA,1TR,II,716,126
10575FD0FD,1TR,I,533,68
10575FD0FD,1TR,II,716,218
B5E88F3351,1TR,I,528,91
B5E88F3351,1TR,II,716,240
CFE87EB955,1TR,I,528,15
CFE87EB955,1TR,II,716,75
37119FFF3D,1TR,I,533,54
37119FFF3D,1TR,II,716,158
B83C6E6A6E,1TR,I,528,26
B83C6E6A6E,1TR,II,716,150
5996A226D0,1TR,I,44,6
BB5F7EEB61,1TR,I,528,25
BB5F7EEB61,1TR,II,716,152
573225E40E,1TR,I,528,73
573225E40E,1TR,II,716,208
77B9D6EA2D,1TR,I,533,141
77B9D6EA2D,1TR,II,716,271
BCD26EC3C7,1TR,I,533,22
BCD26EC3C7,1TR,II,716,108
3CBB30C14E,1TW,I,513,17
3CBB30C14E,1TW,II,700,69
0CB5EA9608,1TW,I,98,20
6D04E063E8,1TW,I,513,24
6D04E063E8,1TW,II,700,176
8E5009A27B,1TW,I,513,75
8E5009A27B,1TW,II,700,140
3DC675536E,1TW,I,513,31
3DC675536E,1TW,II,700,182
A817B9B6BA,1TW,I,472,127
872EB1DED9,1TW,I,513,30
872EB1DED9,1TW,II,700,92
E701BCC43E,1TW,I,513,25
E701BCC43E,1TW,II,700,102
0A0A27E969,1TW,I,513,80
0A0A27E969,1TW,II,700,193
FF695639B2,1TW,I,504,41
FF695639B2,1TW,II,680,179
FA0376797B,1TW,I,513,117
FA0376797B,1TW,II,700,283
05BEC2FF38,1TW,I,513,17
05BEC2FF38,1TW,II,700,183
A828138F7C,1TW,I,513,61
A828138F7C,1TW,II,700,356
451C8E5D38,1TW,I,504,29
451C8E5D38,1TW,II,680,143
1B266170B7,1TW,I,513,33
1B266170B7,1TW,II,696,99
A542C3AD3C,1TW,I,513,105
A542C3AD3C,1TW,II,696,239
7228140A21,1TW,I,513,20
7228140A21,1TW,II,696,105
658AD1AFEA,1TW,I,513,58
658AD1AFEA,1TW,II,696,249
E31DE71B9D,1TW,I,513,13
E31DE71B9D,1TW,II,696,67
9BE2B06B35,1TW,I,513,27
9BE2B06B35,1TW,II,696,224
3F20A26ED5,1TW,I,513,80
3F20A26ED5,1TW,II,696,258
E74EEC8C3E,1TW,I,513,7
E74EEC8C3E,1TW,II,696,108
1F2FAFD6C1,1TW,I,513,41
1F2FAFD6C1,1TW,II,696,146
E3B3BDB6D8,1TW,I,513,70
E3B3BDB6D8,1TW,II,696,148
233DC37A1E,1TW,I,504,37
233DC37A1E,1TW,II,676,156
C7B162111C,1TW,I,513,92
C7B162111C,1TW,II,696,208
C30EC07E8D,1TW,I,513,33
C30EC07E8D,1TW,II,696,69
E1B843CDB9,1TW,I,513,53
E1B843CDB9,1TW,II,696,271
2F008C15A1,1TŻ,I,505,57
2F008C15A1,1TŻ,II,696,237
8F80787373,1TŻ,I,505,139
8F80787373,1TŻ,II,696,213
7EDDAB1665,1TŻ,I,495,152
7EDDAB1665,1TŻ,II,676,194
10E157CD77,1TŻ,I,505,68
10E157CD77,1TŻ,II,696,186
1E9617DFC6,1TŻ,I,505,28
1E9617DFC6,1TŻ,II,696,223
78D46E37A9,1TŻ,I,505,60
78D46E37A9,1TŻ,II,696,150
4F53E1DBF8,1TŻ,I,505,113
4F53E1DBF8,1TŻ,II,696,392
2CC5567E23,1TŻ,I,505,122
2CC5567E23,1TŻ,II,696,216
A1508943D5,1TŻ,I,505,105
A1508943D5,1TŻ,II,696,284
62D3FDB8E5,1TŻ,I,505,44
62D3FDB8E5,1TŻ,II,696,145
CABE13697E,1TŻ,I,505,48
CABE13697E,1TŻ,II,696,218
B8751B86C0,1TŻ,I,505,124
B8751B86C0,1TŻ,II,696,314
E2445679DF,1TŻ,I,507,46
E2445679DF,1TŻ,II,696,160
17B9BE5E0F,1TŻ,I,507,66
17B9BE5E0F,1TŻ,II,696,262
AEBE7E97D7,1TŻ,I,507,38
AEBE7E97D7,1TŻ,II,696,129
597832C0E7,1TŻ,I,507,186
597832C0E7,1TŻ,II,696,332
DCED7AE8B0,1TŻ,I,507,81
DCED7AE8B0,1TŻ,II,696,276
ABA646479D,1TŻ,I,507,64
ABA646479D,1TŻ,II,696,247
052D293C8A,1TŻ,I,497,95
052D293C8A,1TŻ,II,676,210
E8CAE060C5,1TŻ,I,507,47
E8CAE060C5,1TŻ,II,696,154
A39F909FFD,1TŻ,I,507,65
A39F909FFD,1TŻ,II,696,190
06E7DEEBEC,1TŻ,I,507,39
06E7DEEBEC,1TŻ,II,696,137
7B1675CCEF,1TŻ,I,490,151
7B1675CCEF,1TŻ,II,635,274
47C8EBA4A7,1TŻ,I,507,52
47C8EBA4A7,1TŻ,II,696,190
B6BE934E3E,1TŻ,I,507,32
B6BE934E3E,1TŻ,II,696,136
7672689A0F,2TMŻ,I,554,59
7672689A0F,2TMŻ,II,578,183
E1F467CA3D,2TMŻ,I,556,205
E1F467CA3D,2TMŻ,II,713,262
7D9A8DFBEF,2TMŻ,I,556,88
7D9A8DFBEF,2TMŻ,II,713,196
