Dziennik,Data,Wpis,Liczba
4TMR,2022-09-01,obecność,161
4TMR,2022-09-02,nieob. uspraw.,71
4TMR,2022-09-05,obecność,121
4TMR,2022-09-06,nieob. uspraw.,50
4TMR,2022-09-07,obecność,109
4TMR,2022-09-08,spóźnienie,1
4TMR,2022-09-08,obecność,62
4TMR,2022-09-09,obecność,115
4TMR,2022-09-12,obecność,137
4TMR,2022-09-13,nieob. uspraw.,86
4TMR,2022-09-13,obecność,84
4TMR,2022-09-14,obecność,84
4TMR,2022-09-15,obecność,101
4TMR,2022-09-16,obecność,83
4TMR,2022-09-19,spóźnienie,9
4TMR,2022-09-19,obecność,78
4TMR,2022-09-20,obecność,115
4TMR,2022-09-21,nieob. uspraw.,25
4TMR,2022-09-22,obecność,82
4TMR,2022-09-23,obecność,57
4TMR,2022-09-23,nieobecność,64
4TMR,2022-09-26,obecność,64
4TMR,2022-09-27,obecność,111
4TMR,2022-09-27,nieobecność,14
4TMR,2022-09-28,obecność,52
4TMR,2022-09-28,nieob. uspr. p.s.,47
4TMR,2022-09-29,obecność,93
4TMR,2022-09-30,spóźnienie,10
4TMR,2022-09-30,obecność,71
4TMR,2022-09-30,nieob. uspraw.,70
4TMR,2022-10-03,spóźnienie,9
4TMR,2022-10-03,obecność,102
4TMR,2022-10-04,obecność,47
4TMR,2022-10-04,spóźnienie,5
4TMR,2022-10-05,obecność,63
4TMR,2022-10-06,obecność,78
4TMR,2022-10-07,nieob. uspraw.,77
4TMR,2022-10-07,nieobecność,40
4TMR,2022-10-10,obecność,115
4TMR,2022-10-11,obecność,79
4TMR,2022-10-12,obecność,119
4TMR,2022-10-12,nieobecność,4
4TMR,2022-10-13,obecność,41
4TMR,2022-10-13,nieob. uspraw.,58
4TMR,2022-10-17,obecność,105
4TMR,2022-10-18,obecność,96
4TMR,2022-10-19,obecność,117
4TMR,2022-10-19,nieobecność,13
4TMR,2022-10-20,obecność,124
4TMR,2022-10-21,spóźnienie,8
4TMR,2022-10-21,obecność,140
4TMR,2022-10-24,obecność,107
4TMR,2022-10-24,nieobecność,31
4TMR,2022-10-25,obecność,83
4TMR,2022-10-26,nieob. uspr. p.s.,7
4TMR,2022-10-27,obecność,96
4TMR,2022-10-28,nieobecność,70
4TMR,2022-10-28,obecność,70
4TMR,2022-11-02,nieob. uspraw.,14
4TMR,2022-11-02,spóźnienie,11
4TMR,2022-11-02,obecność,98
4TMR,2022-11-03,nieobecność,22
4TMR,2022-11-03,obecność,85
4TMR,2022-11-03,spóźnienie,20
4TMR,2022-11-04,obecność,116
4TMR,2022-11-07,obecność,137
4TMR,2022-11-08,obecność,90
4TMR,2022-11-09,obecność,99
4TMR,2022-11-09,nieobecność,12
4TMR,2022-11-09,nieob. uspr. p.s.,10
4TMR,2022-11-10,obecność,91
4TMR,2022-11-10,nieobecność,45
4TMR,2022-11-10,spóźnienie,12
4TMR,2022-11-14,spóźnienie,3
4TMR,2022-11-14,obecność,76
4TMR,2022-11-14,nieob. uspraw.,9
4TMR,2022-11-15,spóźnienie,7
4TMR,2022-11-15,obecność,77
4TMR,2022-11-16,obecność,100
4TMR,2022-11-16,nieob. uspraw.,9
4TMR,2022-11-17,obecność,139
4TMR,2022-11-18,obecność,105
4TMR,2022-11-21,obecność,107
4TMR,2022-11-22,obecność,85
4TMR,2022-11-23,nieobecność,18
4TMR,2022-11-24,obecność,110
4TMR,2022-11-24,nieob. uspr. p.s.,1
4TMR,2022-11-25,spóźnienie,7
4TMR,2022-11-25,nieob. uspr. p.s.,5
4TMR,2022-11-25,obecność,99
4TMR,2022-11-25,nieobecność,37
4TMR,2022-11-28,obecność,110
4TMR,2022-11-29,obecność,83
4TMR,2022-11-30,obecność,92
4TMR,2022-11-30,nieob. uspr. p.s.,7
4TMR,2022-12-01,nieob. uspraw.,54
4TMR,2022-12-01,obecność,102
4TMR,2022-12-02,nieob. uspraw.,78
4TMR,2022-12-05,obecność,113
4TMR,2022-12-06,nieob. uspraw.,2
4TMR,2022-12-06,obecność,111
4TMR,2022-12-07,obecność,108
4TMR,2022-12-08,spóźnienie,10
4TMR,2022-12-08,obecność,144
4TMR,2022-12-09,spóźnienie,7
