Dziennik,Data,Wpis,Liczba
1TMR,2023-09-04,obecność,192
1TMR,2023-09-05,obecność,179
1TMR,2023-09-06,obecność,192
1TMR,2023-09-07,obecność,190
1TMR,2023-09-07,nieob. uspraw.,2
1TMR,2023-09-08,obecność,177
1TMR,2023-09-11,obecność,185
1TMR,2023-09-12,obecność,154
1TMR,2023-09-13,obecność,182
1TMR,2023-09-14,obecność,145
1TMR,2023-09-14,nieob. uspraw.,22
1TMR,2023-09-15,obecność,169
1TMR,2023-09-18,obecność,183
1TMR,2023-09-19,obecność,163
1TMR,2023-09-20,obecność,184
1TMR,2023-09-21,obecność,110
1TMR,2023-09-22,nieob. uspr. p.s.,171
1TMR,2023-09-25,obecność,168
1TMR,2023-09-26,obecność,155
1TMR,2023-09-26,nieob. uspraw.,13
1TMR,2023-09-27,obecność,177
1TMR,2023-09-28,obecność,132
1TMR,2023-09-29,obecność,161
1TMR,2023-10-02,obecność,168
1TMR,2023-10-03,obecność,183
1TMR,2023-10-04,obecność,172
1TMR,2023-10-05,obecność,138
1TMR,2023-10-06,obecność,161
1TMR,2023-10-09,obecność,155
1TMR,2023-10-09,zwolniony,11
1TMR,2023-10-10,obecność,161
1TMR,2023-10-11,obecność,155
1TMR,2023-10-11,nieob. uspraw.,26
1TMR,2023-10-12,obecność,130
1TMR,2023-10-16,obecność,149
1TMR,2023-10-17,obecność,110
1TMR,2023-10-18,obecność,168
1TMR,2023-10-18,nieobecność,6
1TMR,2023-10-19,nieob. uspraw.,45
1TMR,2023-10-19,obecność,64
1TMR,2023-10-20,obecność,161
1TMR,2023-10-23,obecność,170
1TMR,2023-10-24,obecność,166
1TMR,2023-10-25,obecność,177
1TMR,2023-10-26,obecność,138
1TMR,2023-10-27,obecność,192
1TMR,2023-10-30,obecność,165
1TMR,2023-10-31,nieob. uspraw.,63
1TMR,2023-11-02,obecność,96
1TMR,2023-11-03,obecność,137
1TMR,2023-11-06,obecność,201
1TMR,2023-11-07,obecność,162
1TMR,2023-11-07,nieob. uspr. p.s.,10
1TMR,2023-11-08,obecność,139
1TMR,2023-11-09,obecność,131
1TMR,2023-11-10,nieob. uspraw.,25
1TMR,2023-11-13,nieob. uspraw.,15
1TMR,2023-11-14,obecność,151
1TMR,2023-11-15,nieob. uspraw.,13
1TMR,2023-11-15,obecność,179
1TMR,2023-11-16,obecność,130
1TMR,2023-11-17,nieob. uspraw.,7
1TMR,2023-11-20,obecność,178
1TMR,2023-11-21,nieob. uspr. p.s.,77
1TMR,2023-11-22,obecność,113
1TMR,2023-11-23,obecność,47
1TMR,2023-11-23,nieobecność,4
1TMR,2023-11-24,obecność,137
1TMR,2023-11-27,obecność,149
1TMR,2023-11-28,obecność,139
1TMR,2023-11-29,obecność,120
1TMR,2023-11-30,obecność,111
1TMR,2023-12-01,obecność,147
1TMR,2023-12-04,obecność,170
1TMR,2023-12-04,nieob. uspraw.,17
1TMR,2023-12-05,obecność,170
1TMR,2023-12-06,obecność,183
1TMR,2023-12-07,obecność,124
1TMR,2023-12-08,obecność,153
1TMR,2023-12-11,obecność,148
1TMR,2023-12-12,obecność,151
1TMR,2023-12-13,obecność,184
1TMR,2023-12-14,obecność,63
1TMR,2023-12-15,obecność,185
1TMR,2023-12-18,obecność,144
1TMR,2023-12-18,nieob. uspraw.,16
1TMR,2023-12-19,nieob. uspraw.,19
1TMR,2023-12-19,obecność,149
1TMR,2023-12-20,obecność,171
1TMR,2023-12-21,nieob. uspraw.,46
1TMR,2023-12-21,obecność,122
1TMR,2024-01-02,nieob. uspraw.,56
1TMR,2024-01-03,obecność,154
1TMR,2024-01-04,obecność,125
1TMR,2024-01-05,obecność,161
1TMR,2024-01-08,obecność,136
1TMR,2024-01-09,obecność,133
1TMR,2024-01-10,obecność,79
1TMR,2024-01-11,nieob. uspraw.,42
1TMR,2024-01-12,obecność,161
1TMR,2024-01-29,obecność,172
1TMR,2024-01-30,obecność,156
1TMR,2024-01-31,obecność,166
1TMR,2024-02-01,obecność,144
1TMR,2024-02-02,obecność,155
1TMR,2024-02-05,obecność,165
1TMR,2024-02-06,obecność,175
1TMR,2024-02-07,obecność,159
1TMR,2024-02-08,obecność,126
1TMR,2024-02-09,obecność,32
1TMR,2024-02-12,obecność,171
1TMR,2024-02-13,obecność,144
1TMR,2024-02-13,nieob. uspraw.,20
1TMR,2024-02-14,obecność,142
1TMR,2024-02-14,nieob. uspraw.,24
