uczen_id,Dziennik,semestr,wszystkich,nieobecnych
8690EEB1EC,3TMR,I,645,197
8690EEB1EC,3TMR,II,474,134
14B6C5205E,3TMR,I,645,135
14B6C5205E,3TMR,II,474,106
1A496B7570,3TMR,I,574,281
1A496B7570,3TMR,II,474,248
75BCF6123B,3TMR,I,645,234
75BCF6123B,3TMR,II,474,160
D0B043A863,3TMR,I,645,372
D0B043A863,3TMR,II,474,214
7F4CB815A8,3TMR,I,645,251
7F4CB815A8,3TMR,II,474,216
49413735A2,3TMR,I,645,250
49413735A2,3TMR,II,474,163
21B8C59A44,3TMR,I,645,250
21B8C59A44,3TMR,II,474,156
AB36F4F854,3TMR,I,645,250
AB36F4F854,3TMR,II,474,191
B1DAE414EE,3TMR,I,645,155
B1DAE414EE,3TMR,II,474,164
93D256FC07,3TMR,I,645,180
93D256FC07,3TMR,II,474,207
394F7D11A9,3TMR,I,645,181
394F7D11A9,3TMR,II,474,144
80E394C666,3TMR,I,645,227
80E394C666,3TMR,II,474,111
5EF68C3E6E,3TMR,I,644,248
5EF68C3E6E,3TMR,II,474,152
1ED6F96AB3,3TMR,I,645,171
1ED6F96AB3,3TMR,II,474,197
65E5992ACF,3TMR,I,645,344
65E5992ACF,3TMR,II,474,259
1D5288FE1D,3TMR,I,645,81
1D5288FE1D,3TMR,II,474,111
096F753B79,3TMR,I,644,155
096F753B79,3TMR,II,474,168
E410EA4AA0,3TMR,I,645,271
E410EA4AA0,3TMR,II,474,169
B0E4E530DF,3TMR,I,645,272
B0E4E530DF,3TMR,II,474,179
402213C4F3,3TMR,I,645,56
402213C4F3,3TMR,II,474,118
4CBA89960B,3TMR,I,645,126
4CBA89960B,3TMR,II,474,154
E95392B68D,3TMR,I,645,140
E95392B68D,3TMR,II,474,151
78E13599CC,3TR,I,645,64
78E13599CC,3TR,II,485,86
0ADA3C8421,3TR,I,645,270
0ADA3C8421,3TR,II,485,174
B7263F326B,3TR,I,645,222
B7263F326B,3TR,II,485,175
4E295DB4FC,3TR,I,645,275
4E295DB4FC,3TR,II,485,218
94BEC0E385,3TR,I,645,55
94BEC0E385,3TR,II,485,116
9D36A4CFD3,3TR,I,645,73
9D36A4CFD3,3TR,II,485,81
00C580FC9A,3TR,I,645,250
00C580FC9A,3TR,II,485,213
29F1C292A9,3TR,I,645,88
29F1C292A9,3TR,II,485,146
09A529FDC0,3TR,I,643,77
09A529FDC0,3TR,II,485,135
60D75D8E9E,3TR,I,643,167
60D75D8E9E,3TR,II,485,145
D794F30524,3TR,I,643,95
D794F30524,3TR,II,485,93
1B2ECF62C7,3TR,I,643,176
1B2ECF62C7,3TR,II,485,177
290D76477F,3TR,I,643,91
290D76477F,3TR,II,485,157
CFC3AF337C,3TR,I,643,131
CFC3AF337C,3TR,II,485,218
B197725529,3TR,I,643,205
B197725529,3TR,II,485,168
909EBF6B5C,3TR,I,643,326
909EBF6B5C,3TR,II,485,227
9DD27E96D5,3TR,I,643,233
9DD27E96D5,3TR,II,485,118
BBA95893A2,3TŻ,I,622,214
BBA95893A2,3TŻ,II,490,183
397130F9AE,3TŻ,I,622,246
397130F9AE,3TŻ,II,490,240
8F81E96C5D,3TŻ,I,622,397
8F81E96C5D,3TŻ,II,287,259
725BA0FCB7,3TŻ,I,622,226
725BA0FCB7,3TŻ,II,490,220
7E158F2113,3TŻ,I,622,135
7E158F2113,3TŻ,II,490,138
B0EC980C63,3TŻ,I,622,103
B0EC980C63,3TŻ,II,490,168
1048C1C498,3TŻ,I,622,173
1048C1C498,3TŻ,II,490,148
5A3CF0FEF9,3TŻ,I,622,111
5A3CF0FEF9,3TŻ,II,490,90
26F80B74C7,3TŻ,I,622,70
26F80B74C7,3TŻ,II,490,133
AEBF7833E6,3TŻ,I,622,223
AEBF7833E6,3TŻ,II,490,141
BE7B9BDC1A,3TŻ,I,622,176
BE7B9BDC1A,3TŻ,II,490,169
9F7BEA7335,3TŻ,I,622,59
9F7BEA7335,3TŻ,II,490,70
B50C514E41,3TŻ,I,622,175
B50C514E41,3TŻ,II,490,127
C0022E02DA,3TŻ,I,622,17
C0022E02DA,3TŻ,II,490,98
70D01B4E57,3TŻ,I,622,110
70D01B4E57,3TŻ,II,490,220
